OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251 DEB,1993-036DJ,2025-02-16T13:35:17.583936,14.33845562,0.005756,73.8876,149.7133,97.4395,276.0763,0,U,33905,999,83397,0.0011504,3.237e-05,0.0
COSMOS 2251 DEB,1993-036DK,2025-02-16T18:56:24.110880,14.51246554,0.0040805,74.0327,166.9344,279.8235,208.3061,0,U,33906,999,83662,0.0035838,0.00014406,0.0
COSMOS 2251 DEB,1993-036DL,2025-02-17T13:03:53.123040,14.26258138,0.0123969,74.0704,213.4663,345.9894,75.6084,0,U,33907,999,82322,0.0032386,8.406e-05,0.0
COSMOS 2251 DEB,1993-036DM,2025-02-17T04:02:33.498528,14.04380426,0.0225009,73.8419,14.3595,92.8047,269.8862,0,U,33908,999,81283,0.0041545,8.275e-05,0.0
COSMOS 2251 DEB,1993-036DQ,2025-02-17T02:29:27.247776,14.66126,0.0011839,74.0964,19.4789,28.5131,102.4826,0,U,33911,999,84305,0.0042253,0.00023295,0.0
COSMOS 2251 DEB,1993-036DR,2025-02-16T09:55:29.238240,14.49453393,0.0012663,74.0365,32.5443,200.7491,312.001,0,U,33912,999,84092,0.0016536,6.316e-05,0.0
COSMOS 2251 DEB,1993-036DS,2025-02-16T10:51:09.350784,14.46844364,0.005008,74.0365,23.661,203.1543,291.9524,0,U,33913,999,84126,0.0012057,4.415e-05,0.0
COSMOS 2251 DEB,1993-036DT,2025-02-17T00:56:45.926880,13.71542271,0.0306584,74.0904,147.2194,319.1194,216.6284,0,U,33914,999,80026,0.00092916,1.146e-05,0.0
COSMOS 2251 DEB,1993-036DU,2025-02-16T21:11:56.275008,14.3391348,0.0108001,74.0421,221.2916,26.5339,88.5786,0,U,33915,999,83486,0.00082292,2.423e-05,0.0
COSMOS 2251 DEB,1993-036DV,2025-02-17T03:09:35.984736,13.68200744,0.0324944,74.0518,171.029,48.8158,121.5248,0,U,33916,999,79856,0.00046825,5.56e-06,0.0
COSMOS 2251 DEB,1993-036DW,2025-02-16T23:02:59.873280,13.68389231,0.0336157,74.1038,251.9115,63.6202,299.9011,0,U,33917,999,79645,0.0028136,3.55e-05,0.0
COSMOS 2251 DEB,1993-036DZ,2025-02-17T06:54:19.497888,14.5283574,0.0039582,74.0636,143.0724,234.7706,124.9749,0,U,33920,999,83814,0.003433,0.00014265,0.0
COSMOS 2251 DEB,1993-036EB,2025-02-17T04:59:32.223840,14.48147033,0.0023512,74.0505,346.9314,176.312,296.0875,0,U,33922,999,84297,0.00084645,3.138e-05,0.0
COSMOS 2251 DEB,1993-036ED,2025-02-17T04:49:43.744800,13.49743796,0.040321,73.9137,29.8394,120.1869,243.9819,0,U,33924,999,78749,0.00061627,6.28e-06,0.0
COSMOS 2251 DEB,1993-036EH,2025-02-16T20:05:11.229792,14.46534796,0.006282,73.9233,254.9764,255.4063,104.0124,0,U,33928,999,84321,0.00043595,1.58e-05,0.0
COSMOS 2251 DEB,1993-036EK,2025-02-17T02:54:55.699200,15.15391168,0.0009351,74.0006,300.4112,158.7381,330.1136,0,U,33930,999,84402,0.010276,0.00199656,0.0
COSMOS 2251 DEB,1993-036EL,2025-02-17T09:40:18.946848,15.08352276,0.0104341,74.0061,162.9253,325.7755,33.6739,0,U,33931,999,84804,0.0040745,0.00072493,0.0
COSMOS 2251 DEB,1993-036EM,2025-02-16T18:59:45.604320,14.37652426,0.0038596,74.0351,146.8152,298.4906,61.2362,0,U,33932,999,83700,0.00086603,2.598e-05,0.0
COSMOS 2251 DEB,1993-036EN,2025-02-16T22:39:11.469600,14.32746408,0.0072829,74.0867,244.4046,329.8905,29.8068,0,U,33933,999,83509,0.00052138,1.436e-05,0.0
COSMOS 2251 DEB,1993-036EP,2025-02-16T22:21:54.764640,14.56018604,0.0017415,74.0404,308.5311,150.0957,210.1206,0,U,33934,999,84385,0.0016097,7.079e-05,0.0
COSMOS 2251 DEB,1993-036ER,2025-02-16T22:36:52.836480,14.57499405,0.0029664,74.0165,247.3315,114.837,245.5884,0,U,33936,999,84532,0.0014083,6.416e-05,0.0
COSMOS 2251 DEB,1993-036ET,2025-02-17T02:22:04.186848,14.45328832,0.0017753,74.0467,44.1341,210.4913,226.5184,0,U,33938,999,84094,0.0010665,3.729e-05,0.0
COSMOS 2251 DEB,1993-036EU,2025-02-16T19:39:59.217696,14.78156801,0.0008261,74.0161,318.227,142.7199,217.4551,0,U,33939,999,84305,0.0049183,0.00035804,0.0
COSMOS 2251 DEB,1993-036EV,2025-02-16T21:46:12.569088,14.55283335,0.0012258,74.0447,350.9548,158.1544,258.9021,0,U,33940,999,84262,0.0021884,9.477e-05,0.0
COSMOS 2251 DEB,1993-036EX,2025-02-16T14:31:19.903008,14.3742249,0.0022256,74.0354,105.5103,266.8122,214.2066,0,U,33942,999,83835,0.0003496,1.022e-05,0.0
COSMOS 2251 DEB,1993-036EZ,2025-02-16T16:17:41.612640,14.36555204,0.0116124,74.0406,138.807,312.0197,161.0792,0,U,33944,999,83732,0.00049041,1.528e-05,0.0
COSMOS 2251 DEB,1993-036FA,2025-02-16T15:52:50.302848,14.34284095,0.0024092,74.0299,134.1554,294.7026,65.1618,0,U,33945,999,83727,0.00024213,6.56e-06,0.0
COSMOS 2251 DEB,1993-036FD,2025-02-16T14:44:14.637984,14.35187679,0.0024841,74.0356,133.7767,285.4858,74.3551,0,U,33948,999,83731,0.00032711,9.12e-06,0.0
COSMOS 2251 DEB,1993-036FE,2025-02-17T03:44:41.056800,14.38979329,0.0020706,74.0234,85.2589,263.3735,152.6836,0,U,33971,999,83845,0.00046286,1.405e-05,0.0
COSMOS 2251 DEB,1993-036FF,2025-02-17T09:17:56.448096,14.32313251,0.0137447,73.9987,18.6982,256.1896,260.8386,0,U,33972,999,82813,0.0030706,9.188e-05,0.0
COSMOS 2251 DEB,1993-036FG,2025-02-16T22:53:58.850304,14.44958157,0.0047045,74.0087,300.5825,192.1756,179.7638,0,U,33973,999,84284,0.00023638,8.08e-06,0.0
COSMOS 2251 DEB,1993-036FJ,2025-02-17T00:14:36.525408,13.99857682,0.0191926,73.7992,249.2609,72.685,289.5177,0,U,33975,999,81665,0.00083669,1.415e-05,0.0
